City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,brae,GB,60.3964,-1.353,51.08,93,8,5.77,clear sky
201,kedougou,SN,12.5579,-12.1743,93.78,52,20,2.3,few clouds
202,georgetown,MY,5.4112,100.3354,82.24,90,40,0.0,light rain
203,chokurdakh,RU,70.6333,147.9167,5.22,96,100,7.58,light snow
204,santiago del estero,AR,-27.7951,-64.2615,105.93,18,1,11.59,clear sky
205,saskylakh,RU,71.9167,114.0833,1.4,89,100,9.42,overcast clouds
206,kupang,ID,-10.1667,123.5833,78.64,83,100,4.25,overcast clouds
207,fort nelson,CA,58.8053,-122.7002,18.99,93,75,0.0,broken clouds
208,qaanaaq,GL,77.484,-69.3632,-11.81,68,0,8.59,clear sky
209,makakilo city,US,21.3469,-158.0858,76.69,80,0,8.05,clear sky
210,fairbanks,US,64.8378,-147.7164,10.92,80,0,4.61,clear sky
211,katsuura,JP,35.1333,140.3,58.32,65,33,13.24,scattered clouds
212,pochutla,MX,15.7432,-96.4661,87.82,64,38,4.09,scattered clouds
213,braganca,BR,-1.0536,-46.7656,93.25,45,98,9.42,overcast clouds
214,tiarei,PF,-17.5333,-149.3333,78.82,80,24,11.05,few clouds
215,deputatskiy,RU,69.3,139.9,-10.59,98,82,6.29,broken clouds
216,nuevo progreso,MX,23.1667,-97.95,78.48,36,64,4.0,broken clouds
217,alofi,NU,-19.0595,-169.9187,73.29,94,97,13.8,overcast clouds
218,khatanga,RU,71.9667,102.5,5.18,90,100,4.25,overcast clouds
219,san angelo,US,31.4638,-100.437,62.94,59,20,8.05,few clouds
220,shache,CN,38.4167,77.2406,59.72,25,2,6.49,clear sky
221,tawang,IN,27.5833,91.8667,40.33,79,9,5.97,clear sky
222,takoradi,GH,4.8845,-1.7554,80.71,80,57,9.44,light rain
223,belyy yar,RU,53.6039,91.3903,30.09,75,0,0.0,clear sky
224,palana,RU,59.1167,159.9667,27.36,91,100,15.84,light snow
225,tura,IN,25.5198,90.2201,66.25,85,0,3.67,clear sky
226,hualmay,PE,-11.0964,-77.6139,67.23,68,87,8.77,overcast clouds
227,goderich,CA,43.7501,-81.7165,57.9,66,11,8.05,few clouds
228,les cayes,HT,18.2,-73.75,88.3,53,100,8.68,overcast clouds
229,chicama,PE,-7.8447,-79.1469,63.14,57,89,9.69,overcast clouds
230,alice springs,AU,-23.7,133.8833,74.75,50,61,16.11,broken clouds
231,eskil,TR,38.4017,33.4131,52.23,42,0,7.67,clear sky
232,yakeshi,CN,49.2833,120.7333,31.93,45,97,5.86,overcast clouds
233,nata,PA,8.3333,-80.5167,84.07,65,23,3.31,light rain
234,olinda,BR,-8.0089,-34.8553,83.93,61,40,12.66,scattered clouds
235,dudinka,RU,69.4058,86.1778,12.25,97,97,2.15,overcast clouds
236,gazanjyk,TM,39.2446,55.5154,52.43,75,53,3.49,broken clouds
237,chuy,UY,-33.6971,-53.4616,82.96,37,4,10.92,clear sky
238,necochea,AR,-38.5473,-58.7368,61.95,52,44,13.91,scattered clouds
239,khor,RU,47.8861,134.9464,31.53,68,0,3.31,clear sky
240,nemuro,JP,43.3236,145.575,49.41,86,1,8.97,clear sky
241,anzoategui,CO,4.63,-75.0954,67.42,76,72,4.65,broken clouds
242,kruisfontein,ZA,-34.0033,24.7314,69.89,63,100,5.19,overcast clouds
243,meadow lake,US,34.8014,-106.5436,58.21,45,0,5.84,clear sky
244,ixtapa,MX,20.7,-105.2,82.22,57,0,4.0,clear sky
245,jumla,NP,29.2747,82.1838,45.12,83,33,4.25,scattered clouds
246,west odessa,US,31.8424,-102.4988,61.68,51,0,4.61,clear sky
247,smidovich,RU,48.6,133.8167,31.8,68,4,6.08,clear sky
248,lebu,CL,-37.6167,-73.65,55.27,95,100,14.12,overcast clouds
249,uaua,BR,-9.8414,-39.4817,93.94,25,100,9.82,overcast clouds
250,lompoc,US,34.6391,-120.4579,69.94,90,0,3.44,clear sky
251,iranshahr,IR,27.2025,60.6848,82.74,18,0,4.61,clear sky
252,saint-francois,FR,46.4154,3.9054,72.84,35,0,11.5,clear sky
253,antofagasta,CL,-23.65,-70.4,63.68,61,24,8.43,few clouds
254,altay,CN,47.8667,88.1167,24.91,59,2,4.74,clear sky
255,clarence town,AU,-32.5833,151.7833,61.86,81,0,3.69,clear sky
256,ornskoldsvik,SE,63.2909,18.7153,41.95,70,3,19.57,clear sky
257,namibe,AO,-15.1961,12.1522,75.83,83,75,11.5,broken clouds
258,jacareacanga,BR,-6.2222,-57.7528,98.46,30,60,5.26,broken clouds
259,mazatlan,MX,23.2167,-106.4167,84.16,65,0,6.91,clear sky
260,dikson,RU,73.5069,80.5464,19.51,84,100,3.0,overcast clouds
261,turukhansk,RU,65.8167,87.9833,22.89,95,100,16.04,light snow
262,esperance,AU,-33.8667,121.9,53.44,87,100,22.21,light rain
263,goundam,ML,16.4145,-3.6708,91.58,9,0,11.18,clear sky
264,tommot,RU,58.9564,126.2925,13.26,95,100,1.74,overcast clouds
265,las palmas,ES,28.4204,-14.0131,74.19,78,0,6.91,clear sky
266,jalingo,NG,8.8833,11.3667,83.75,38,70,2.01,broken clouds
267,kudahuvadhoo,MV,2.6708,72.8944,81.09,78,74,11.03,broken clouds
268,melfi,IT,40.9965,15.6514,61.5,56,0,3.78,clear sky
269,svetlyy,RU,54.675,20.1347,53.96,79,100,19.55,overcast clouds
270,constitucion,CL,-35.3333,-72.4167,62.44,75,6,10.8,clear sky
271,pisco,PE,-13.7,-76.2167,67.01,72,20,11.5,few clouds
272,ambulu,ID,-8.345,113.6058,75.07,82,99,0.96,overcast clouds
273,shakiso,ET,5.75,38.9167,58.78,92,82,3.06,light rain
274,vanimo,PG,-2.6741,141.3028,77.11,89,97,4.21,overcast clouds
275,kavieng,PG,-2.5744,150.7967,82.45,73,100,9.31,overcast clouds
276,zadar,HR,44.1197,15.2422,59.61,94,0,3.44,clear sky
277,macedo de cavaleiros,PT,41.5382,-6.9611,57.36,93,100,4.41,overcast clouds
278,gwadar,PK,25.1216,62.3254,78.96,72,1,8.08,clear sky
279,byron bay,AU,-28.65,153.6167,58.71,62,21,8.79,few clouds
280,noumea,NC,-22.2763,166.4572,77.0,99,1,2.77,clear sky
281,oistins,BB,13.0667,-59.5333,82.49,83,75,18.41,broken clouds
282,oranjestad,AW,12.524,-70.027,86.92,79,40,11.5,scattered clouds
283,itarema,BR,-2.9248,-39.9167,88.45,56,66,21.45,broken clouds
284,bengkulu,ID,-3.8004,102.2655,75.43,91,68,4.65,broken clouds
285,karratha,AU,-20.7377,116.8463,69.49,42,0,20.07,clear sky
286,seoul,KR,37.5683,126.9778,53.04,100,99,3.44,overcast clouds
287,tierra blanca,HN,14.5833,-88.5833,80.26,53,94,4.41,overcast clouds
288,malandag,PH,6.3094,125.2428,73.87,96,97,1.32,overcast clouds
289,mayo,US,38.8876,-76.5119,62.13,60,0,10.36,clear sky
290,saint george,US,37.1041,-113.5841,56.95,32,0,1.99,clear sky
291,ziyang,CN,29.2497,117.8547,55.65,86,4,3.89,clear sky
292,caraballeda,VE,10.6112,-66.8522,86.07,90,95,5.75,overcast clouds
293,olafsvik,IS,64.8945,-23.7142,43.52,91,88,11.18,overcast clouds
294,novosokolniki,RU,56.3463,30.1578,54.12,91,98,11.81,overcast clouds
295,kilindoni,TZ,-7.9139,39.6668,77.81,80,83,12.88,broken clouds
296,huambo,AO,-12.7761,15.7392,61.34,92,100,4.56,overcast clouds
297,jatai,BR,-17.8814,-51.7144,89.31,38,93,9.64,overcast clouds
298,port macquarie,AU,-31.4333,152.9167,52.9,69,0,4.76,clear sky
299,ahipara,NZ,-35.1667,173.1667,62.51,96,100,9.71,heavy intensity rain
300,phan thiet,VN,10.9333,108.1,77.2,85,100,4.34,heavy intensity rain
301,yulara,AU,-25.2406,130.9889,74.37,74,31,13.31,scattered clouds
302,winnemucca,US,40.973,-117.7357,44.65,36,0,0.0,clear sky
303,olutanga,PH,7.3106,122.8464,83.07,80,99,19.55,light rain
304,balabag,PH,11.97,121.9192,81.66,81,100,26.96,light rain
305,coahuayana,MX,18.7333,-103.6833,85.6,66,5,3.18,clear sky
306,kirakira,SB,-10.4544,161.9205,78.13,84,100,3.15,overcast clouds
307,monterey,US,36.2505,-121.2516,65.17,39,4,4.07,clear sky
308,tulun,RU,54.5611,100.5792,26.4,78,72,3.4,broken clouds
309,acarau,BR,-2.8856,-40.12,89.62,56,67,21.39,broken clouds
310,kiruna,SE,67.8557,20.2251,27.52,86,75,19.57,broken clouds
311,kyzyl-suu,KG,42.3414,78.0056,43.05,57,53,6.91,broken clouds
312,inhambane,MZ,-23.865,35.3833,73.62,81,84,12.91,light rain
313,fortuna,US,40.5982,-124.1573,57.09,72,0,8.05,clear sky
314,sandy springs,US,33.9243,-84.3785,65.79,73,100,11.5,overcast clouds
315,dongsheng,CN,39.8161,109.9776,45.77,86,89,8.95,overcast clouds
316,marystown,CA,47.1666,-55.1483,51.1,64,8,20.36,clear sky
317,mandera,KE,3.9366,41.867,88.61,44,100,5.64,overcast clouds
318,narsaq,GL,60.9167,-46.05,32.22,85,48,6.04,scattered clouds
319,beringovskiy,RU,63.05,179.3167,15.44,66,12,16.24,few clouds
320,salinopolis,BR,-0.6136,-47.3561,85.8,65,99,15.28,overcast clouds
321,iwaki,JP,37.05,140.8833,48.78,84,1,7.58,clear sky
322,raudeberg,NO,61.9875,5.1352,50.67,1,97,5.23,overcast clouds
323,camacha,PT,33.0833,-16.3333,69.22,73,40,4.61,scattered clouds
324,tazovskiy,RU,67.4667,78.7,19.6,90,89,14.47,overcast clouds
325,margate,GB,51.3813,1.3862,64.9,76,83,4.0,broken clouds
326,siswa bazar,IN,27.15,83.7667,69.21,61,0,4.34,clear sky
327,dolores,AR,-36.3132,-57.6792,80.29,30,57,15.19,broken clouds
328,kutiyana,IN,21.6233,69.9817,80.28,49,0,6.13,clear sky
329,hambantota,LK,6.1241,81.1185,79.79,72,100,1.59,overcast clouds
330,sirok,HU,47.9333,20.2,57.07,69,99,2.17,overcast clouds
331,kargopol,RU,61.5071,38.9456,44.71,95,100,10.09,overcast clouds
332,san roque,ES,36.2107,-5.3842,68.83,78,75,12.66,broken clouds
333,shingu,JP,33.7333,135.9833,51.12,77,12,6.31,few clouds
334,nuuk,GL,64.1835,-51.7216,36.21,64,75,21.85,light shower snow
335,anuchino,RU,43.9622,133.0544,31.24,72,0,1.12,clear sky
336,mashhad,IR,36.297,59.6062,59.14,58,40,4.61,scattered clouds
337,jinxiang,CN,27.4327,120.6062,64.17,79,2,11.65,clear sky
338,mandan,US,46.8267,-100.8896,54.61,57,0,8.05,clear sky
339,oulainen,FI,64.2667,24.8,40.8,87,100,18.48,overcast clouds
340,san cristobal,VE,7.7669,-72.225,80.78,39,97,2.73,overcast clouds
341,myitkyina,MM,25.3833,97.4,68.77,73,0,2.39,clear sky
342,opuwo,NA,-18.0607,13.84,82.45,26,100,12.66,overcast clouds
343,kavaratti,IN,10.5669,72.642,83.12,63,2,4.54,clear sky
344,bilma,NE,18.6853,12.9164,79.47,16,0,6.2,clear sky
345,egvekinot,RU,66.3167,-179.1667,9.45,74,100,11.81,overcast clouds
346,launceston,AU,-41.45,147.1667,42.15,84,6,0.0,clear sky
347,ganzhou,CN,28.8184,115.4327,59.92,67,8,5.95,clear sky
348,kawalu,ID,-7.3817,108.2082,69.87,95,100,2.55,overcast clouds
349,dunmore town,BS,25.5,-76.65,81.48,72,3,17.34,clear sky
350,tchibanga,GA,-2.85,11.0333,74.25,94,48,4.14,light rain
351,villamontes,BO,-21.25,-63.5,104.02,22,0,8.75,clear sky
352,faya,SA,18.3851,42.4509,64.51,76,60,4.18,broken clouds
